record-000000 valor=0
record-000001 valor=7
record-000002 valor=14
record-000003 valor=21
record-000004 valor=28
record-000005 valor=35
record-000006 valor=42
record-000007 valor=49
record-000008 valor=56
record-000009 valor=63
record-000010 valor=70
record-000011 valor=77
record-000012 valor=84
record-000013 valor=91
record-000014 valor=98
record-000015 valor=105
record-000016 valor=112
record-000017 valor=119
record-000018 valor=126
record-000019 valor=133
record-000020 valor=140
record-000021 valor=147
record-000022 valor=154
record-000023 valor=161
record-000024 valor=168
record-000025 valor=175
record-000026 valor=182
record-000027 valor=189
record-000028 valor=196
record-000029 valor=203
record-000030 valor=210
record-000031 valor=217
record-000032 valor=224
record-000033 valor=231
record-000034 valor=238
record-000035 valor=245
record-000036 valor=252
record-000037 valor=259
record-000038 valor=266
record-000039 valor=273
record-000040 valor=280
record-000041 valor=287
record-000042 valor=294
record-000043 valor=301
record-000044 valor=308
record-000045 valor=315
record-000046 valor=322
record-000047 valor=329
record-000048 valovor=336
record-000049 valor=343
record-000050 valor=350
record-000051 valor=357
record-000052 valor=364
record-000053 valor=371
record-000054 valor=378
record-000055 valor=385
record-000056 valor=392
record-000057 valor=399
record-000058 valor=406
record-000059 valor=413
record-000060 valor=420
record-000061 valor=427
record-000062 valor=434
record-000063 valor=441
record-000064 valor=448
record-000065 valor=455
record-000066 valor=462
record-000067 valor=469
record-000068 valor=476
record-000069 valor=483
record-000070 valor=490
record-000071 valor=497
record-000072 valor=504
record-000073 valor=511
record-000074 valor=518
record-000075 valor=525
record-000076 valor=532
record-000077 valor=539
record-000078 valor=546
record-000079 valor=553
record-000080 valor=560
record-000081 valor=567
record-000082 valor=574
record-000083 valor=581
record-000084 valor=588
record-000085 valor=595
record-000086 valor=602
record-000087 valor=609
record-000088 valor=616
record-000089 valor=623
record-000090 valor=630
record-000091 valor=637
record-000092 valor=644
record-000093 valor=651
record-000094 valor=658
record-000095 valor=665
record-000096 valor=672
record-000097 valor=679
record-000098 valor=686
record-000099 valor=693
record-000100 valor=700
record-000101 valor=707
record-000102 valor=714
record-000103 valor=721
record-000104 valor=728
record-000105 valor=735
record-000106 valor=742
record-000107 valor=749
record-000108 valor=756
record-000109 valor=763
record-000110 valor=770
record-000111 valor=777
record-000112 valor=784
record-000113 valor=791
record-000114 valor=798
record-000115 valor=805
record-000116 valor=812
record-000117 valor=819
record-000118 valor=826
record-000119 valor=833
record-000120 valor=840
record-000121 valor=847
record-000122 valor=854
record-000123 valor=861
record-000124 valor=868
record-000125 valor=875
record-000126 valor=882
record-000127 valor=889
record-000128 valor=896
record-000129 valor=903
record-000130 valor=910
record-000131 valor=917
record-000132 valor=924
record-000133 valor=931
record-000134 valor=938
record-000135 valor=945
record-000136 valor=952
record-000137 valor=959
record-000138 valor=966
record-000139 valor=973
record-000140 valor=980
record-000141 valor=987
record-000142 valor=994
record-000143 valor=1001
record-000144 valor=1008
record-000145 valor=1015
record-000146 valor=1022
record-000147 valor=1029
record-000148 valor=1036
record-000149 valor=1043
record-000150 valor=1050
record-000151 valor=1057
record-000152 valor=1064
record-000153 valor=1071
record-000154 valor=1078
record-000155 valor=1085
record-000156 valor=1092
record-000157 valor=1099
record-000158 valor=1106
record-000159 valor=1113
record-000160 valor=1120
record-000161 valor=1127
record-000162 valor=1134
record-000163 valor=1141
record-000164 valor=1148
record-000165 valor=1155
record-000166 valor=1162
record-000167 valor=1169
record-000168 valor=1176
record-000169 valor=1183
record-000170 valor=1190
record-000171 valor=1197
record-000172 valor=1204
record-000173 valor=1211
record-000174 valor=1218
record-000175 valor=1225
record-000176 valor=1232
record-000177 valor=1239
record-000178 valor=1246
record-000179 valor=1253
record-000180 valor=1260
record-000181 valor=1267
record-000182 valor=1274
record-000183 valor=1281
record-000184 valor=1288
record-000185 valor=1295
record-000186 valor=1302
record-000187 valor=1309
record-000188 valor=1316
record-000189 valor=1323
record-000190 valor=1330
record-000191 valor=1337
record-000192 valor=1344
record-000193 valor=1351
record-000194 valor=1358
record-000195 valor=1365
record-000196 valor=1372
record-000197 valor=1379
record-000198 valor=1386
record-000199 valor=1393
record-000200 valor=1400
record-000201 valor=1407
record-000202 valor=1414
record-000203 valor=1421
record-000204 valor=1428
record-000205 valor=1435
record-000206 valor=1442
record-000207 valor=1449
record-000208 valor=1456
record-000209 valor=1463
record-000210 valor=1470
record-000211 valor=1477
record-000212 valor=1484
record-000213 valor=1491
record-000214 valor=1498
record-000215 valor=1505
record-000216 valor=1512
record-000217 valor=1519
record-000218 valor=1526
record-000219 valor=1533
record-000220 valor=1540
record-000221 valor=1547
record-000222 valor=1554
record-000223 valor=1561
record-000224 valor=1568
record-000225 valor=1575
record-000226 valor=1582
record-000227 valor=1589
record-000228 valor=1596
record-000229 valor=1603
record-000230 valor=1610
record-000231 valor=1617
record-000232 valor=1624
record-000233 valor=1631
record-000234 valor=1638
record-000235 valor=1645
record-000236 valor=1652
record-000237 valor=1659
record-000238 valor=1666
record-000239 valor=1673
record-000240 valor=1680
record-000241 valor=1687
record-000242 valor=1694
record-000243 valor=1701
record-000244 valor=1708
record-000245 valor=1715
record-000246 valor=1722
record-000247 valor=1729
record-000248 valor=1736
record-000249 valor=1743
record-000250 valor=1750
record-000251 valor=1757
record-000252 valor=1764
record-000253 valor=1771
record-000254 valor=1778
record-000255 valor=1785
record-000256 valor=1792
record-000257 valor=1799
record-000258 valor=1806
record-000259 valor=1813
record-000260 valor=1820
record-000261 valor=1827
record-000262 valor=1834
record-000263 valor=1841
record-000264 valor=1848
record-000265 valor=1855
record-000266 valor=1862
record-000267 valor=1869
record-000268 valor=1876
record-000269 valor=1883
record-000270 valor=1890
record-000271 valor=1897
record-000272 valor=1904
record-000273 valor=1911
record-000274 valor=1918
record-000275 valor=1925
record-000276 valor=1932
record-000277 valor=1939
record-000278 valor=1946
record-000279 valor=1953
record-000280 valor=1960
record-000281 valor=1967
record-000282 valor=1974
record-000283 valor=1981
record-000284 valor=1988
record-000285 valor=1995
record-000286 valor=2002
record-000287 valor=2009
record-000288 valor=2016
record-000289 valor=2023
record-000290 valor=2030
record-000291 valor=2037
record-000292 valor=2044
record-000293 valor=2051
record-000294 valor=2058
record-000295 valor=2065
record-000296 valor=2072
record-000297 valor=2079
record-000298 valor=2086
record-000299 valor=2093
record-000300 valor=2100
record-000301 valor=2107
record-000302 valor=2114
record-000303 valor=2121
record-000304 valor=2128
record-000305 valor=2135
record-000306 valor=2142
record-000307 valor=2149
record-000308 valor=2156
record-000309 valor=2163
record-000310 valor=2170
